pop species lon lat bio1 bio2 bio3 bio4 bio5 bio6 bio7 bio8 bio9 bio10 bio11 bio12 bio13 bio14 bio15 bio16 bio17 bio18 bio19
BSS Ne 127.9166667 43.96666667 4.09999990463257 11.8000001907349 24.7999992370605 1323.59997558594 25.3999996185303 -22 47.4000015258789 20.7999992370605 -15.6000003814697 19.3999996185303 -13.3999996185303 715 197 3 108.099998474121 477 17 477 17
GDS mixed 111.9166667 38.45 8.69999980926514 14 32.0999984741211 1112.40002441406 29.2000007629395 -14.3999996185303 43.5999984741211 22 -7.09999990463257 22 -5.5 446 119 2 106 289 10 278 10
hanguo Ne 128.4 37.1 12.3999996185303 10.6999998092651 28.7999992370605 992.599975585938 30.1000003814697 -7.09999990463257 37.2000007629395 25.7000007629395 -1.89999997615814 24.2999992370605 -0.300000011920929 1311 318 30 86 743 103 722 103
HH Ne 127.8666667 50.4 2.70000004768372 11.8000001907349 21.2999992370605 1655.69995117188 28.3999996185303 -27.2999992370605 55.7000007629395 23 -16.6000003814697 21.5 -19.2999992370605 568 136 5 99.9000015258789 356 20 356 21
HM Ne 127.1 52.2 1 13.3000001907349 23.5 1647.80004882812 28 -28.7000007629395 56.7000007629395 21.7999992370605 -22.6000003814697 20.2000007629395 -20.2999992370605 526 131 4 99.6999969482422 327 16 327 16
hybrid03 mixed 103.63 32.53 6.40000009536743 11.3999996185303 36.7999992370605 659.299987792969 21.3999996185303 -9.5 30.8999996185303 12.8000001907349 -3.20000004768372 14.3999996185303 -2 678 115 4 76.3000030517578 316 19 278 19
hybrid13-15 mixed 100.26 28.68 4.59999990463257 12.6000003814697 44.7000007629395 574.599975585938 16.5 -11.8000001907349 28.2999992370605 11.5 -2.59999990463257 11.3000001907349 -2.70000004768372 650 140 3 88.3000030517578 362 17 362 17
JSZ Ne 127.3166667 43.25 5.90000009536743 11.8999996185303 24.2999992370605 1366.59997558594 27.2999992370605 -21.8999996185303 49.2000007629395 22.7999992370605 -15.1999998092651 21.6000003814697 -12.5 747 203 6 105.5 491 24 491 24
KMC rot 103.3833333 25.46666667 16.6000003814697 11 46.7000007629395 472.299987792969 26.6000003814697 3.09999990463257 23.5 21.2999992370605 9.60000038146973 21.3999996185303 10.1000003814697 837 162 12 83.4000015258789 472 43 472 43
LHS Ne 124.8166667 44.78333333 7.19999980926514 11.1000003814697 22.6000003814697 1423.30004882812 29.1000003814697 -20 49.0999984741211 24.7999992370605 -14.6000003814697 23.6000003814697 -11.8000001907349 549 189 2 123.199996948242 393 9 393 9
LiuJQ-MZL-2013-042+43 mixed 110.2974333 31.471 8.39999961853027 8.10000038146973 27.2999992370605 780.900024414062 23.1000003814697 -6.5 29.6000003814697 15.8000001907349 -2.5 17.7999992370605 -1.29999995231628 1318 224 22 61.4000015258789 569 78 566 78
LiuJQ-MZL-2013-082 mixed 111.8500556 33.94915 15.8000001907349 10.8000001907349 30.7000007629395 913.799987792969 32.7999992370605 -2.40000009536743 35.2000007629395 27.2000007629395 3 26.8999996185303 4.19999980926514 723 148 7 70.8000030517578 355 31 334 31
LiuJQ-MZL-2013-099 mixed 110.9376 35.92536667 10.5 10.8999996185303 29.7999992370605 969.099975585938 28.2999992370605 -8.39999961853027 36.7000007629395 22.5 -2.90000009536743 22.2999992370605 -1.70000004768372 544 122 3 88.3000030517578 313 13 293 13
LiuJQ-MZL-2013-115 mixed 112.0744 38.85555 4.80000019073486 13 31.2999992370605 1072.19995117188 24.5 -17 41.5 18 -10.1000003814697 17.7000007629395 -8.80000019073486 491 131 2 105.800003051758 315 12 308 12
LiuJQ-MZL-2013-117 mixed 111.2848333 38.21626667 7 12.6999998092651 30.5 1086.30004882812 26.6000003814697 -15.1000003814697 41.7000007629395 20.2000007629395 -8.39999961853027 20 -6.90000009536743 499 122 3 99.3000030517578 313 13 293 13
LiuJQ-MZL-2013-136 mixed 111.2645667 37.20483333 8.60000038146973 12.1000003814697 30.8999996185303 1016.20001220703 27.2000007629395 -12 39.2000007629395 21.1000003814697 -5.80000019073486 20.7999992370605 -4.30000019073486 507 123 2 98.6999969482422 313 9 299 9
LiuJQ-MZL-2013-142 mixed 113.4846667 38.95088333 5 13 31.2999992370605 1076.40002441406 24.5 -16.8999996185303 41.4000015258789 18.8999996185303 -9.89999961853027 17.8999996185303 -8.69999980926514 523 141 4 103.199996948242 330 18 330 18
LiuJQ-MZL-2013-152 mixed 113.8048639 39.57789722 6 13.3000001907349 31 1123.40002441406 26.1000003814697 -16.7000007629395 42.7999992370605 20.3999996185303 -9.80000019073486 19.2999992370605 -8.39999961853027 469 124 5 99 291 20 291 20
LiuJQ-MZL-2013-167 mixed 114.7267778 39.22044444 8.69999980926514 12 29.3999996185303 1095 28 -12.8999996185303 40.9000015258789 22.7999992370605 -6.5 21.7000007629395 -5.40000009536743 493 144 2 111.800003051758 331 11 331 11
LiuJQ-MZL-2013-174 mixed 117.4806667 40.58663889 6.40000009536743 11.5 27.8999996185303 1126.40002441406 25.7999992370605 -15.3000001907349 41.0999984741211 20.8999996185303 -9.30000019073486 19.7000007629395 -8 608 192 3 122.5 432 12 432 12
LiuJQ-MZL-2013-192 mixed 119.1591944 40.9085 10.1999998092651 12.3999996185303 29.1000003814697 1158.40002441406 29.7000007629395 -13 42.7000007629395 24.8999996185303 -6.40000009536743 23.7999992370605 -4.80000019073486 530 171 2 124.199996948242 377 7 377 7
LiuJQ-MZL-2013-197 mixed 119.9179167 41.17952778 10.8000001907349 12.6000003814697 28.8999996185303 1194.69995117188 30.3999996185303 -13.3000001907349 43.7000007629395 25.7999992370605 -6.59999990463257 24.7000007629395 -4.80000019073486 517 169 2 122.300003051758 363 7 363 7
LiuJQ-MZL-2013-203 mixed 121.5665 41.53786111 10 10.3000001907349 25 1191.5 28.7999992370605 -12.6000003814697 41.4000015258789 25 -7.30000019073486 23.8999996185303 -5.5 596 192 2 120.599998474121 415 7 415 7
LiuJQ-MZL-2013-221 Ne 123.15125 40.99263889 9.80000019073486 9.69999980926514 23.3999996185303 1178 28.2999992370605 -13.1000003814697 41.4000015258789 24.3999996185303 -7.90000009536743 23.3999996185303 -5.69999980926514 806 241 5 113.300003051758 539 23 539 23
