pop species lon lat bio1 bio2 bio3 bio4 bio5 bio6 bio7 bio8 bio9 bio10 bio11 bio12 bio13 bio14 bio15 bio16 bio17 bio18 bio19
BSS Ne 127.9166667 43.96666667 4.59999990463257 11.6999998092651 25.2000007629395 1307.80004882812 25.8999996185303 -20.7000007629395 46.5999984741211 21.2000007629395 -14.3999996185303 19.8999996185303 -12.6000003814697 676 179 4 105.400001525879 446 18 446 18
GDS mixed 111.9166667 38.45 9 13.8000001907349 32.5 1096.59997558594 28.8999996185303 -13.6999998092651 42.5999984741211 21.8999996185303 -6.30000019073486 22.1000003814697 -4.80000019073486 452 114 2 103.800003051758 292 10 276 10
hanguo Ne 128.4 37.1 12.8000001907349 10.6999998092651 29.6000003814697 975 29.8999996185303 -6.19999980926514 36.0999984741211 25.5 1.20000004768372 24.5 0.400000005960464 1421 339 28 83.8000030517578 796 107 759 108
HH Ne 127.8666667 50.4 3.20000004768372 11.8999996185303 21.3999996185303 1645.59997558594 29 -26.6000003814697 55.5999984741211 23.6000003814697 -16.7000007629395 21.8999996185303 -18.7000007629395 551 125 5 94 332 21 332 23
HM Ne 127.1 52.2 1.5 13.3999996185303 23.5 1639.69995117188 28.7000007629395 -28.2000007629395 56.9000015258789 22.5 -22.1000003814697 20.6000003814697 -19.7999992370605 511 124 4 96.1999969482422 312 17 312 17
hybrid03 mixed 103.63 32.53 6.59999990463257 11.3000001907349 37.2000007629395 647.900024414062 21.2000007629395 -9.10000038146973 30.2999992370605 13 -2.90000009536743 14.3999996185303 -1.60000002384186 702 121 4 75.5999984741211 323 18 303 18
hybrid13-15 mixed 100.26 28.68 4.90000009536743 12.5 44 577.099975585938 16.7000007629395 -11.8000001907349 28.5 11.8000001907349 -3.59999990463257 11.6000003814697 -2.5 670 149 3 89 372 16 372 16
JSZ Ne 127.3166667 43.25 6.5 12 24.7000007629395 1355.19995117188 27.7999992370605 -20.7000007629395 48.5 23.2999992370605 -14.1000003814697 22 -11.6999998092651 698 183 6 102.099998474121 452 26 452 26
KMC rot 103.3833333 25.46666667 16.8999996185303 10.8000001907349 45.7000007629395 468.899993896484 26.7999992370605 3.20000004768372 23.6000003814697 21.7999992370605 9.5 21.7000007629395 10.5 868 161 12 81.5 467 40 467 40
LHS Ne 124.8166667 44.78333333 7.69999980926514 11.1000003814697 23.1000003814697 1393.5 29.6000003814697 -18.3999996185303 48 25.2000007629395 -13 23.7999992370605 -10.6999998092651 546 181 2 120 387 10 387 10
LiuJQ-MZL-2013-042+43 mixed 110.2974333 31.471 8.60000038146973 7.90000009536743 27.6000003814697 768.200012207031 22.7999992370605 -5.80000019073486 28.6000003814697 18.8999996185303 -1.79999995231628 17.8999996185303 -0.699999988079071 1377 211 23 59.0999984741211 568 83 568 83
LiuJQ-MZL-2013-082 mixed 111.8500556 33.94915 15.8999996185303 10.6999998092651 30.7000007629395 902.099975585938 33 -1.79999995231628 34.7999992370605 27.3999996185303 3.59999990463257 27 4.69999980926514 740 134 8 65.8000030517578 343 34 319 34
LiuJQ-MZL-2013-099 mixed 110.9376 35.92536667 10.5 10.6999998092651 29.8999996185303 947.900024414062 27.8999996185303 -7.80000019073486 35.7000007629395 22.1000003814697 -2.40000009536743 22 -1.29999995231628 590 127 3 88.9000015258789 345 14 310 14
LiuJQ-MZL-2013-115 mixed 112.0744 38.85555 5.09999990463257 12.8000001907349 31.7000007629395 1055.09997558594 24.2000007629395 -16.2999992370605 40.5 18 -9.19999980926514 17.7999992370605 -8 492 123 2 103.5 313 12 305 12
LiuJQ-MZL-2013-117 mixed 111.2848333 38.21626667 7.30000019073486 12.5 30.7000007629395 1072 26.5 -14.3999996185303 40.9000015258789 20.1000003814697 -7.59999990463257 20.1000003814697 -6.30000019073486 501 117 3 96.9000015258789 313 13 285 13
LiuJQ-MZL-2013-136 mixed 111.2645667 37.20483333 8.69999980926514 11.8999996185303 30.8999996185303 1003.20001220703 27 -11.3999996185303 38.4000015258789 20.8999996185303 -5.09999990463257 20.7999992370605 -3.90000009536743 530 123 2 97.4000015258789 331 10 300 10
LiuJQ-MZL-2013-142 mixed 113.4846667 38.95088333 5.40000009536743 12.8999996185303 32.0999984741211 1052.59997558594 24.1000003814697 -16.1000003814697 40.2000007629395 18.7000007629395 -9 18 -7.80000019073486 541 151 4 103 337 18 337 18
LiuJQ-MZL-2013-152 mixed 113.8048639 39.57789722 6.40000009536743 13.1999998092651 31.6000003814697 1099.19995117188 25.7999992370605 -15.8999996185303 41.7000007629395 20.2000007629395 -8.80000019073486 19.3999996185303 -7.5 481 130 5 97 291 20 291 20
LiuJQ-MZL-2013-167 mixed 114.7267778 39.22044444 9.10000038146973 12 30.1000003814697 1068.80004882812 27.7000007629395 -12.1999998092651 39.9000015258789 22.6000003814697 -5.59999990463257 21.8999996185303 -4.5 505 148 2 108.599998474121 329 11 329 11
LiuJQ-MZL-2013-174 mixed 117.4806667 40.58663889 6.80000019073486 11.5 28.6000003814697 1098.19995117188 25.7000007629395 -14.5 40.2000007629395 21 -8.30000019073486 20 -7.09999990463257 616 184 3 115.300003051758 420 12 420 12
LiuJQ-MZL-2013-192 mixed 119.1591944 40.9085 10.6999998092651 12.3999996185303 29.7999992370605 1133.59997558594 29.7000007629395 -12 41.7000007629395 25 -5.30000019073486 24.1000003814697 -3.79999995231628 549 169 2 120.699996948242 383 8 383 8
