pop species lon lat bio1 bio2 bio3 bio4 bio5 bio6 bio7 bio8 bio9 bio10 bio11 bio12 bio13 bio14 bio15 bio16 bio17 bio18 bio19
BSS Ne 127.9166667 43.96666667 5.30000019073486 11.6000003814697 24.8999996185303 1327.40002441406 26.5 -20.1000003814697 46.5999984741211 21.8999996185303 -13.8999996185303 20.8999996185303 -11.8999996185303 731 193 4 106.599998474121 484 19 484 19
GDS mixed 111.9166667 38.45 9.60000038146973 13.5 31.7999992370605 1095.59997558594 29.7000007629395 -12.8999996185303 42.5999984741211 22.2999992370605 -5.80000019073486 22.5 -4.5 475 125 2 106.900001525879 308 10 299 10
hanguo Ne 128.4 37.1 13.5 10.5 29.1000003814697 989.599975585938 30.7000007629395 -5.5 36.2000007629395 26.3999996185303 1.79999995231628 25.2999992370605 0.899999976158142 1375 356 31 86.6999969482422 759 114 758 122
HH Ne 127.8666667 50.4 4 11.6999998092651 21.2000007629395 1657 29.5 -25.7000007629395 55.2000007629395 24.1000003814697 -15.8999996185303 23 -17.8999996185303 570 144 6 97.6999969482422 352 22 352 24
HM Ne 127.1 52.2 2.20000004768372 13.1000003814697 23.2999992370605 1645.30004882812 29.2000007629395 -27.2999992370605 56.5 23 -21.2999992370605 21.6000003814697 -18.8999996185303 545 139 5 98.3000030517578 332 17 332 17
hybrid03 mixed 103.63 32.53 7.5 11.3000001907349 37.5 644.700012207031 22.1000003814697 -8 30.1000003814697 13.6999998092651 -1.70000004768372 15.3000001907349 -0.600000023841858 697 116 4 75.8000030517578 319 18 294 18
hybrid13-15 mixed 100.26 28.68 5.80000019073486 12.6999998092651 45.7999992370605 555.099975585938 17.2999992370605 -10.3999996185303 27.7000007629395 12.6000003814697 -2.09999990463257 12.3000001907349 -1.20000004768372 666 146 3 89.5 374 15 374 15
JSZ Ne 127.3166667 43.25 7.19999980926514 11.8000001907349 24.2999992370605 1375.19995117188 28.2000007629395 -20.2000007629395 48.4000015258789 23.8999996185303 -13.6000003814697 23 -11.1000003814697 767 207 6 105.300003051758 502 26 502 26
KMC rot 103.3833333 25.46666667 17.8999996185303 11.1000003814697 46.5 467.799987792969 28 4.09999990463257 23.8999996185303 22.6000003814697 10.6999998092651 22.6000003814697 11.5 818 153 11 83.5 447 35 447 35
LHS Ne 124.8166667 44.78333333 8.39999961853027 11 22.6000003814697 1437.90002441406 30.3999996185303 -18.5 48.9000015258789 26.1000003814697 -13 25.1000003814697 -10.3999996185303 567 194 2 123.699996948242 407 10 407 10
LiuJQ-MZL-2013-042+43 mixed 110.2974333 31.471 9.30000019073486 7.90000009536743 27.5 776.799987792969 23.6000003814697 -5.19999980926514 28.7999992370605 19.7000007629395 -1 18.7000007629395 -0.300000011920929 1391 233 21 62 584 78 579 78
LiuJQ-MZL-2013-082 mixed 111.8500556 33.94915 16.2999992370605 10.6999998092651 31.2000007629395 892 32.9000015258789 -1.29999995231628 34.2000007629395 27.2999992370605 4.19999980926514 27.2000007629395 5 758 150 8 68.8000030517578 365 34 335 34
LiuJQ-MZL-2013-099 mixed 110.9376 35.92536667 11.1000003814697 10.5 29.6000003814697 947.900024414062 28.3999996185303 -7.09999990463257 35.5 22.8999996185303 -1.70000004768372 22.5 -0.899999976158142 601 130 4 86 340 16 309 16
LiuJQ-MZL-2013-115 mixed 112.0744 38.85555 5.69999980926514 12.5 30.8999996185303 1056.69995117188 25.1000003814697 -15.5 40.5999984741211 19.5 -8.80000019073486 18.2000007629395 -7.80000019073486 518 138 2 107.599998474121 333 13 333 13
LiuJQ-MZL-2013-117 mixed 111.2848333 38.21626667 7.80000019073486 12.3000001907349 30.2999992370605 1064.59997558594 27.1000003814697 -13.3999996185303 40.5 20.5 -6.90000009536743 20.3999996185303 -5.90000009536743 542 132 3 100.400001525879 342 14 321 14
LiuJQ-MZL-2013-136 mixed 111.2645667 37.20483333 9.30000019073486 11.6000003814697 30.5 998.5 27.6000003814697 -10.5 38.0999984741211 21.6000003814697 -4.40000009536743 21.2000007629395 -3.40000009536743 560 131 2 96.6999969482422 346 10 316 10
LiuJQ-MZL-2013-142 mixed 113.4846667 38.95088333 5.90000009536743 12.6000003814697 30.8999996185303 1062.40002441406 25.1000003814697 -15.6999998092651 40.7999992370605 19.7000007629395 -8.69999980926514 18.3999996185303 -7.69999980926514 565 154 5 105.900001525879 364 20 364 20
LiuJQ-MZL-2013-152 mixed 113.8048639 39.57789722 6.80000019073486 12.8999996185303 30.3999996185303 1113.09997558594 26.7999992370605 -15.6000003814697 42.4000015258789 21.1000003814697 -8.69999980926514 19.8999996185303 -7.5 502 135 6 101.599998474121 318 22 318 22
LiuJQ-MZL-2013-167 mixed 114.7267778 39.22044444 9.5 11.6999998092651 29.1000003814697 1081.80004882812 28.5 -11.8000001907349 40.2999992370605 23.3999996185303 -5.5 22.2000007629395 -4.40000009536743 525 152 2 114.699996948242 359 11 359 11
LiuJQ-MZL-2013-174 mixed 117.4806667 40.58663889 7.40000009536743 11.1999998092651 27.3999996185303 1127.69995117188 26.7000007629395 -14.1999998092651 40.9000015258789 22 -8.19999980926514 20.7000007629395 -7 634 191 3 123.300003051758 457 13 457 13
LiuJQ-MZL-2013-192 mixed 119.1591944 40.9085 11.1999998092651 12.1999998092651 28.7999992370605 1167.40002441406 30.6000003814697 -11.8000001907349 42.4000015258789 25.8999996185303 -5.30000019073486 24.7999992370605 -3.79999995231628 549 170 2 127.300003051758 401 8 401 8
LiuJQ-MZL-2013-197 mixed 119.9179167 41.17952778 11.6999998092651 12.3000001907349 28.2999992370605 1207.19995117188 31.3999996185303 -12.1000003814697 43.5 26.7999992370605 -5.40000009536743 25.7999992370605 -3.79999995231628 530 164 2 124.5 384 8 384 8
LiuJQ-MZL-2013-203 mixed 121.5665 41.53786111 10.8999996185303 10.1000003814697 24.5 1202.30004882812 29.7000007629395 -11.3000001907349 41 26 -6.09999990463257 25 -4.5 614 192 2 122.900001525879 438 8 438 8
LiuJQ-MZL-2013-221 Ne 123.15125 40.99263889 10.8000001907349 9.5 23.2000007629395 1185.5 29.5 -11.5 41 25.5 -6.40000009536743 24.6000003814697 -4.5 841 246 6 116.199996948242 570 24 570 24
LiuJQ-MZL-2013-238 Ne 124.38425 40.62366667 10.5 10.5 25.1000003814697 1159.59997558594 29.7000007629395 -12.1000003814697 41.7999992370605 25 -6.30000019073486 24.2000007629395 -4.30000019073486 1096 310 12 110.800003051758 718 43 718 43
LiuJQ-MZL-2013-247 Ne 126.5994722 41.94136111 7.59999990463257 12.1999998092651 25.5 1331.90002441406 29.2000007629395 -18.7999992370605 48 24.3999996185303 -12.1999998092651 23.2000007629395 -9.89999961853027 965 253 10 104 624 40 624 40
LiuJQ-MZL-2013-257 Ne 127.5297778 41.47919444 7.09999990463257 12 26 1281 28.2000007629395 -18 46.2000007629395 23.2000007629395 -11.8000001907349 22 -9.69999980926514 863 211 12 97 537 42 537 42
LiuJQ-MZL-2013-264 Ne 128.1434167 41.57469444 4.5 12.1000003814697 26.5 1256.5 25.5 -20.1000003814697 45.5999984741211 20.6000003814697 -13.6000003814697 19.2000007629395 -11.8000001907349 813 190 10 96.3000030517578 505 35 505 35
LiuJQ-MZL-2013-270 Ne 126.8848333 42.62916667 7.40000009536743 12.3000001907349 25.2000007629395 1345.59997558594 29 -19.7000007629395 48.7000007629395 24.2999992370605 -12.8000001907349 23.1000003814697 -10.3000001907349 877 232 11 102.800003051758 564 37 564 37
LiuJQ-MZL-2013-282 Ne 128.9276111 42.48758333 7.09999990463257 11.6999998092651 27.1000003814697 1202 27 -16.2000007629395 43.2000007629395 22.3999996185303 -10.1000003814697 21.2000007629395 -8.39999961853027 701 171 6 98.5999984741211 438 24 438 24
LiuJQ-MZL-2013-298 Ne 129.0338889 43.90666667 6.19999980926514 11.3999996185303 24.5 1330.59997558594 27.7999992370605 -18.6000003814697 46.4000015258789 23.1000003814697 -12.8999996185303 21.7999992370605 -11 636 153 4 101.900001525879 407 16 407 16
LiuJQ-MZL-2013-313 Ne 129.7575 46.71594444 6.19999980926514 11.3000001907349 22.6000003814697 1476.40002441406 29.3999996185303 -20.7000007629395 50.0999984741211 24.6000003814697 -15.6999998092651 23.3999996185303 -13 628 153 5 101.900001525879 403 19 403 19
