pop species lon lat bio1 bio2 bio3 bio4 bio5 bio6 bio7 bio8 bio9 bio10 bio11 bio12 bio13 bio14 bio15 bio16 bio17 bio18 bio19
BSS Ne 127.9166667 43.96666667 5.69999980926514 12.1000003814697 25.8999996185303 1309.80004882812 27.2999992370605 -19.6000003814697 46.9000015258789 22.1000003814697 -13.1999998092651 20.8999996185303 -11.3999996185303 946 254 4 112.300003051758 652 18 652 18
GDS mixed 111.9166667 38.45 9.80000019073486 14.3000001907349 35.0999984741211 1076.09997558594 29.7999992370605 -10.8000001907349 40.5999984741211 23.3999996185303 -4.40000009536743 22.6000003814697 -3.70000004768372 650 190 2 117.900001525879 440 9 440 9
hanguo Ne 128.4 37.1 13.3000001907349 11.3000001907349 30.6000003814697 994.599975585938 31.1000003814697 -5.80000019073486 36.9000015258789 26.5 -0.699999988079071 25.2000007629395 0.600000023841858 1903 452 35 90.1999969482422 1097 127 1079 127
HH Ne 127.8666667 50.4 4.30000019073486 12.1000003814697 21 1672.30004882812 31.6000003814697 -25.8999996185303 57.5 25.6000003814697 -16.2000007629395 23.7000007629395 -17.7999992370605 753 193 6 101.599998474121 476 23 476 25
HM Ne 127.1 52.2 2.59999990463257 13.5 22.8999996185303 1658.69995117188 31.7999992370605 -27.1000003814697 58.9000015258789 24.7999992370605 -20.7999992370605 22.5 -18.6000003814697 733 182 5 102.400001525879 468 19 468 19
hybrid03 mixed 103.63 32.53 7.19999980926514 11.8999996185303 39.5999984741211 654.099975585938 22.2999992370605 -7.69999980926514 30 13.6999998092651 -1.70000004768372 15.3000001907349 -1 996 170 5 77.0999984741211 470 23 440 23
hybrid13-15 mixed 100.26 28.68 5.19999980926514 13 45 577.099975585938 17.7000007629395 -11.1999998092651 28.8999996185303 12.5 -1.5 12.1000003814697 -2 1037 231 4 92.3000030517578 601 20 601 21
JSZ Ne 127.3166667 43.25 7.59999990463257 12.3000001907349 25.2999992370605 1350.80004882812 29.2999992370605 -19.2999992370605 48.5999984741211 24 -12.6999998092651 23.1000003814697 -10.3999996185303 992 261 6 109.400001525879 666 26 666 26
KMC rot 103.3833333 25.46666667 16.8999996185303 11.5 47.9000015258789 491.799987792969 27 2.90000009536743 24.1000003814697 22.7999992370605 9.60000038146973 22.2999992370605 10.3999996185303 1379 285 12 91.5 803 48 803 48
LHS Ne 124.8166667 44.78333333 8.80000019073486 11.1999998092651 23.1000003814697 1422.19995117188 31.2999992370605 -17.1000003814697 48.4000015258789 26.3999996185303 -12 25.2999992370605 -9.69999980926514 709 226 2 122.800003051758 519 9 519 9
