pop species lon lat bio1 bio2 bio3 bio4 bio5 bio6 bio7 bio8 bio9 bio10 bio11 bio12 bio13 bio14 bio15 bio16 bio17 bio18 bio19
BSS Ne 127.9166667 43.96666667 6.80000019073486 11.8999996185303 24.7000007629395 1307.30004882812 29.2000007629395 -18.7999992370605 48 23.8999996185303 -12.8000001907349 22.2999992370605 -9.80000019073486 1002 277 4 114.400001525879 690 19 690 19
GDS mixed 111.9166667 38.45 10.3999996185303 13.8999996185303 32.0999984741211 1124.5 31.6000003814697 -11.6000003814697 43.2000007629395 24.2000007629395 -5.30000019073486 23.8999996185303 -3.59999990463257 708 208 2 121.800003051758 498 11 477 11
hanguo Ne 128.4 37.1 14.1999998092651 11.3000001907349 29.5 1022.79998779297 33 -5.09999990463257 38.0999984741211 27.6000003814697 -0.100000001490116 26.7000007629395 1.5 1763 407 31 87.9000015258789 1023 126 1023 126
HH Ne 127.8666667 50.4 5.90000009536743 12 20.6000003814697 1664.30004882812 33.2999992370605 -25.2000007629395 58.5 27 -14.3999996185303 25.2999992370605 -16.1000003814697 717 186 6 98.5 435 22 435 25
HM Ne 127.1 52.2 4.30000019073486 13.6000003814697 22.7999992370605 1645.40002441406 33.2999992370605 -26.3999996185303 59.7000007629395 26 -20.2999992370605 24 -16.8999996185303 694 179 4 100.900001525879 429 18 429 18
hybrid03 mixed 103.63 32.53 8.30000019073486 11.8000001907349 39.5 659.700012207031 23.5 -6.40000009536743 29.8999996185303 15.1999998092651 -0.600000023841858 16.6000003814697 0.400000005960464 1020 166 5 77 463 22 456 22
hybrid13-15 mixed 100.26 28.68 6.40000009536743 13.3000001907349 45.2000007629395 571.200012207031 19.7999992370605 -9.60000038146973 29.3999996185303 13.6000003814697 -0.800000011920929 13.3000001907349 -0.600000023841858 1028 228 4 91.6999969482422 585 20 585 20
JSZ Ne 127.3166667 43.25 8.69999980926514 12 24.3999996185303 1348.80004882812 30.8999996185303 -18.2999992370605 49.2000007629395 25.7999992370605 -12.1999998092651 24.5 -8.80000019073486 1033 273 7 111.400001525879 699 26 699 26
KMC rot 103.3833333 25.46666667 17.6000003814697 11.3999996185303 46.5 489.700012207031 28.1000003814697 3.70000004768372 24.3999996185303 23.6000003814697 10.5 23.2000007629395 11.3000001907349 1530 291 12 83.5 796 52 796 52
LHS Ne 124.8166667 44.78333333 9.89999961853027 10.8000001907349 21.7000007629395 1434.09997558594 33.0999984741211 -16.7999992370605 49.9000015258789 28.1000003814697 -12 26.7999992370605 -8.5 757 255 2 125.5 542 10 542 10
