pop species lon lat bio1 bio2 bio3 bio4 bio5 bio6 bio7 bio8 bio9 bio10 bio11 bio12 bio13 bio14 bio15 bio16 bio17 bio18 bio19
BSS Ne 127.9166667 43.96666667 5.19999980926514 12.1000003814697 25.2999992370605 1294.09997558594 27.5 -20.2000007629395 47.7000007629395 22.1000003814697 -13.6999998092651 20.3999996185303 -11.5 964 278 4 110.199996948242 641 18 641 18
GDS mixed 111.9166667 38.45 9.30000019073486 14.1999998092651 34.2000007629395 1082.5 29.7000007629395 -11.6999998092651 41.4000015258789 23.2999992370605 -5.09999990463257 22.1000003814697 -4.19999980926514 603 171 2 118 410 10 410 10
hanguo Ne 128.4 37.1 12.8999996185303 11.1999998092651 30.3999996185303 994.599975585938 30.7000007629395 -6.09999990463257 36.7999992370605 25.8999996185303 -1.10000002384186 24.8999996185303 0.400000005960464 1851 427 35 86.5 1048 120 1030 120
HH Ne 127.8666667 50.4 3.70000004768372 12 21.1000003814697 1631 31 -25.7999992370605 56.7999992370605 24.8999996185303 -17.3999996185303 22.5 -17.8999996185303 768 186 6 100.800003051758 480 22 480 25
HM Ne 127.1 52.2 1.89999997615814 13.5 23.2000007629395 1628.69995117188 31.2999992370605 -27.1000003814697 58.4000015258789 24.1000003814697 -20.8999996185303 21.2999992370605 -19 692 162 4 101.199996948242 437 19 437 19
hybrid03 mixed 103.63 32.53 6.80000019073486 11.8000001907349 39 666.5 22 -8.19999980926514 30.2000007629395 13.5 -2.40000009536743 14.8999996185303 -1.5 1015 183 5 78.5 491 23 479 23
hybrid13-15 mixed 100.26 28.68 5 13 44.2999992370605 592.900024414062 17.6000003814697 -11.6999998092651 29.2999992370605 12.1999998092651 -3.59999990463257 11.8999996185303 -2.5 1066 240 4 92.8000030517578 619 21 619 21
JSZ Ne 127.3166667 43.25 7.09999990463257 12.1999998092651 24.7999992370605 1336.59997558594 29.3999996185303 -19.8999996185303 49.2999992370605 24.1000003814697 -13.1999998092651 22.7000007629395 -10.5 971 282 6 107 625 24 625 24
KMC rot 103.3833333 25.46666667 16.6000003814697 11.1999998092651 46.5 477.299987792969 26.7999992370605 2.70000004768372 24.1000003814697 22.2000007629395 9.19999980926514 21.8999996185303 10.5 1381 281 14 89.3000030517578 773 47 773 47
LHS Ne 124.8166667 44.78333333 8.19999980926514 11.1000003814697 22.7000007629395 1395.59997558594 31.2000007629395 -17.8999996185303 49.0999984741211 26.2999992370605 -12.6000003814697 24.5 -9.89999961853027 752 250 2 124.5 544 9 544 9
LiuJQ-MZL-2013-042+43 mixed 110.2974333 31.471 9 8.39999961853027 29.6000003814697 762.700012207031 23.7000007629395 -4.5 28.2000007629395 19.7000007629395 -0.5 18.3999996185303 -0.300000011920929 1908 359 24 69.9000015258789 874 85 874 85
LiuJQ-MZL-2013-082 mixed 111.8500556 33.94915 16.2999992370605 11.1999998092651 32.9000015258789 885.900024414062 33.5999984741211 -0.400000005960464 34 28.6000003814697 4.90000009536743 27.2000007629395 5.30000019073486 1072 215 8 78.6999969482422 551 34 551 34
LiuJQ-MZL-2013-099 mixed 110.9376 35.92536667 11 11.3000001907349 32.2999992370605 943.599975585938 29.2000007629395 -5.69999980926514 34.9000015258789 23.7000007629395 -1 22.3999996185303 -0.600000023841858 784 182 3 97.1999969482422 476 13 476 13
