pop,vcf_ID,Q_pro,group1,group2,hybrid_index
LiuJQ-QTP-2013-210,LiuJQ-QTP-2013-210-15B,0.996441,P. rotundifolia,P. rotundifolia,0.970640617213515
LiuJQ-QTP-2013-210,LiuJQ-QTP-2013-210-16B,0.974977,P. rotundifolia,P. rotundifolia,0.961149013916042
LZQ-106,LZQ-106-4C,0.99999,P. rotundifolia,P. rotundifolia,0.992523040653626
LZQ-106,LZQ-106-7C,0.99999,P. rotundifolia,P. rotundifolia,0.99954275686089
LZQ-117,LZQ-117-3B,0.99999,P. rotundifolia,P. rotundifolia,0.999589007332595
LZQ-117,LZQ-117-5B,0.99999,P. rotundifolia,P. rotundifolia,0.999511421880206
LZQ-117,LZQ-117-6C,0.99999,P. rotundifolia,P. rotundifolia,0.999610051729485
LZQ-81,LZQ-81-1B,0.99999,P. rotundifolia,P. rotundifolia,0.999486822086657
LZQ-81,LZQ-81-4B,0.99999,P. rotundifolia,P. rotundifolia,0.999633305876985
LZQ-81,LZQ-81-5B,0.99999,P. rotundifolia,P. rotundifolia,0.99923214577475
LZQ-98,LZQ-98-3C,0.99999,P. rotundifolia,P. rotundifolia,0.999733944835085
LZQ-98,LZQ-98-4C,0.99999,P. rotundifolia,P. rotundifolia,0.999662171287911
MaoKS-CX-2014-120,MaoKS-CX-2014-120-1B,0.99999,P. rotundifolia,P. rotundifolia,0.998869159062858
MaoKS-CX-2014-120,MaoKS-CX-2014-120-2B,0.99999,P. rotundifolia,P. rotundifolia,0.998865329176655
MaoKS-CX-2014-120,MaoKS-CX-2014-120-3B,0.99999,P. rotundifolia,P. rotundifolia,0.99918185899382
MaoKS-CX-2014-120,MaoKS-CX-2014-120-4B,0.99999,P. rotundifolia,P. rotundifolia,0.999466809880426
MaoKS-CX-2014-120,MaoKS-CX-2014-120-5B,0.99999,P. rotundifolia,P. rotundifolia,0.999430300534951
MaoKS-CX-2014-120,MaoKS-CX-2014-120-6B,0.99999,P. rotundifolia,P. rotundifolia,0.999246916780488
MaoKS-CX-2014-120,MaoKS-CX-2014-120-7B,0.99999,P. rotundifolia,P. rotundifolia,0.999413844085823
MaoKS-CX-2014-120,MaoKS-CX-2014-120-8B,0.99999,P. rotundifolia,P. rotundifolia,0.999269430317299
MaoKS-CX-2014-188,MaoKS-CX-2014-188-8B,0.991968,P. rotundifolia,P. rotundifolia,0.94828008874729
MaoKS-CX-2014-198,MaoKS-CX-2014-198-11B,0.853954,BCr,admixed,0.802438927
MaoKS-CX-2014-198,MaoKS-CX-2014-198-4B,0.883097,BCr,admixed,0.838253891412301
MaoKS-CX-2014-198,MaoKS-CX-2014-198-5B,0.882786,BCr,admixed,0.844424536150459
MaoKS-CX-2014-198,MaoKS-CX-2014-198-6B,0.8871,BCr,admixed,0.843932077621241
MaoKS-CX-2014-198,MaoKS-CX-2014-198-9B,0.894148,BCr,admixed,0.850991635654093
MaoKS-CX-2014-204,MaoKS-CX-2014-204-1B,0.79797,BCr,admixed,0.742821413071434
MaoKS-CX-2014-204,MaoKS-CX-2014-204-2B,0.839466,BCr,admixed,0.784527743757246
MaoKS-CX-2014-204,MaoKS-CX-2014-204-4B,0.880632,BCr,admixed,0.836878690289577
MaoKS-CX-2014-204,MaoKS-CX-2014-204-5B,0.865969,BCr,admixed,0.8493272373224
MaoKS-CX-2014-222,MaoKS-CX-2014-222-B1C,0.843564,BCr,admixed,0.823301404309465
MaoKS-CX-2014-222,MaoKS-CX-2014-222-B2B,0.904703,BCr,admixed,0.88511255605233
MaoKS-CX-2014-222,MaoKS-CX-2014-222-B3C,0.915437,BCr,admixed,0.880126629971501
MaoKS-CX-2014-222,MaoKS-CX-2014-222-B7B,0.889251,BCr,admixed,0.844930381202566
MaoKS-CX-2014-222,MaoKS-CX-2014-222-B8C,0.90739,BCr,admixed,0.868699139375833
MaoKS-CX-2014-222,MaoKS-CX-2014-222-B9C,0.899178,BCr,admixed,0.860339719186469
MaoKS-CX-2014-234,MaoKS-CX-2014-234-1B,0.836227,BCr,admixed,0.800148609636196
MaoKS-CX-2014-234,MaoKS-CX-2014-234-2B,0.811292,BCr,admixed,0.781968274546652
MaoKS-CX-2014-234,MaoKS-CX-2014-234-5B,0.841915,BCr,admixed,0.828156329495737
MaoKS-CX-2014-234,MaoKS-CX-2014-234-8B,0.812464,BCr,admixed,0.765695276488713
MaoKS-CX-2014-234,MaoKS-CX-2014-234-9B,0.844447,BCr,admixed,0.819960639360023
MaoKS-CX-2014-253,MaoKS-CX-2014-253-1B,0.99999,P. rotundifolia,P. rotundifolia,0.997896777727734
MaoKS-CX-2014-253,MaoKS-CX-2014-253-2B,0.99999,P. rotundifolia,P. rotundifolia,0.993489734389853
MaoKS-CX-2014-253,MaoKS-CX-2014-253-3B,0.99999,P. rotundifolia,P. rotundifolia,0.993113652408335
MaoKS-CX-2014-253,MaoKS-CX-2014-253-4B,0.99999,P. rotundifolia,P. rotundifolia,0.992880136786481
MaoKS-CX-2014-253,MaoKS-CX-2014-253-5B,0.99999,P. rotundifolia,P. rotundifolia,0.995814265076149
MaoKS-CX-2014-32,MaoKS-CX-2014-32-11B,0.37236,BCr,admixed,0.370929634736352
MaoKS-CX-2014-32,MaoKS-CX-2014-32-13B,0.419219,BCr,admixed,0.444977141582224
MaoKS-CX-2014-44,MaoKS-CX-2014-44-1B,0.575658,BCr,admixed,0.565809611541381
MaoKS-CX-2014-44,MaoKS-CX-2014-44-2B,0.527623,BCr,admixed,0.534626401299254
MaoKS-CX-2014-44,MaoKS-CX-2014-44-3B,0.529255,BCr,admixed,0.518990631073009
MaoKS-CX-2014-44,MaoKS-CX-2014-44-4B,0.526175,BCr,admixed,0.536280726359143
MaoKS-CX-2014-44,MaoKS-CX-2014-44-6B,0.542389,BCr,admixed,0.534381515780077
MaoKS-CX-2014-44,MaoKS-CX-2014-44-7B,0.512094,BCr,admixed,0.488971352552869
MaoKS-CX-2014-44,MaoKS-CX-2014-44-8B,0.522913,BCr,admixed,0.533449787478932
MaoKS-CX-2014-67,MaoKS-CX-2014-67-10C,0.768519,BCr,admixed,0.760980868884553
MaoKS-CX-2014-67,MaoKS-CX-2014-67-13C,0.659699,BCr,admixed,0.654392096712623
MaoKS-CX-2014-67,MaoKS-CX-2014-67-15B,0.689822,BCr,admixed,0.664881180548354
MaoKS-CX-2014-67,MaoKS-CX-2014-67-1C,0.800306,BCr,admixed,0.782971736207403
MaoKS-CX-2014-67,MaoKS-CX-2014-67-3C,0.797665,BCr,admixed,0.766343578371221
MaoKS-CX-2014-67,MaoKS-CX-2014-67-6C,0.692624,BCr,admixed,0.680143208418426
MaoKS-CX-2014-67,MaoKS-CX-2014-67-7C,0.777519,BCr,admixed,0.768046970557757
MaoKS-CX-2014-99,MaoKS-CX-2014-99-A1B,0.684944,BCr,admixed,0.67214707181397
MaoKS-CX-2014-99,MaoKS-CX-2014-99-A9B,0.752916,BCr,admixed,0.761443447625565
MaoKS-CX-2014-99,MaoKS-CX-2014-99-B13B,0.796549,BCr,admixed,0.764840149190162
MaoKS-CX-2014-99,MaoKS-CX-2014-99-B16B,0.708004,BCr,admixed,0.67116823939041
MaoKS-CX-2014-99,MaoKS-CX-2014-99-B1B,0.704829,BCr,admixed,0.678737919271324
MaoKS-CX-2014-99,pda01-a_HVN5MCCXX_L5,0.731482,BCr,admixed,0.698176258850958
pda2,pda02-a_HVN5MCCXX_L7,0.264492,P. davidiana-S,admixed,0.303145931775119
pda2,pda02-b_HVLKJCCXX_L6,0.268861,P. davidiana-S,admixed,0.309462589742993
pda4,pda04-a_HVLKJCCXX_L1,0.267167,P. davidiana-S,admixed,0.315237265591649
LiuJQ-MZL-2013-042+43,pda05-a_HVLKJCCXX_L1,0.27533,P. davidiana-S,admixed,0.310217016416015
LiuJQ-MZL-2013-082,pda06-a_HNF2MCCXX_L6,0.246232,P. davidiana-S,admixed,0.283779937304419
LiuJQ-MZL-2013-082,pda06-b_HVLKJCCXX_L6,0.264584,P. davidiana-S,admixed,0.309351418360058
LiuJQ-MZL-2013-167,pda08-a_HVLKJCCXX_L1,0.164577,BCd,admixed,0.206407470274009
LiuJQ-MZL-2013-221,pda11-a_HNHNCCCXX_L5,0.008765,P. davidiana-N,P. davidiana-N,0.0400888833219617
LiuJQ-MZL-2013-221,pda11-b_HNHNCCCXX_L4,0.00001,P. davidiana-N,P. davidiana-N,0.00442682831095357
LiuJQ-MZL-2013-247,pda12-a_HNHNCCCXX_L3,0.00001,P. davidiana-N,P. davidiana-N,0.00172604456177001
LiuJQ-MZL-2013-247,Pda12-b_HW5NLCCXX_L7,0.00001,P. davidiana-N,P. davidiana-N,0.00221330656106564
LiuJQ-MZL-2013-313,pda13-a_HNHNCCCXX_L7,0.00001,P. davidiana-N,P. davidiana-N,0.0256332587478198
LiuJQ-MZL-2013-361,Pda15-b_HVLVNCCXX_L5,0.00001,P. davidiana-N,P. davidiana-N,0.00109973466869533
LiuJQ-QTP-2013-102,pro01-a_HVNHGCCXX_L8,0.83953,P. rotundifolia,P. rotundifolia,0.796291981774867
ZLP20-15,pro02-b_HVN5MCCXX_L4,0.99999,P. rotundifolia,P. rotundifolia,0.96569202524782
ZLP20-17,pro03-a_HVNHGCCXX_L8,0.99999,P. rotundifolia,P. rotundifolia,0.968836812966187
ZLP20-17,pro03-b_HVN5MCCXX_L4,0.99999,P. rotundifolia,P. rotundifolia,0.978271323871061
ZLP20-08,pro04-a_HNG5YCCXX_L6,0.99999,P. rotundifolia,P. rotundifolia,0.966541249664539
ZLP20-08,pro04-b_HVN5MCCXX_L5,0.99999,P. rotundifolia,P. rotundifolia,0.991681618154955
MaoKS-CX-2014-204,pro06-a_HVN5MCCXX_L3,0.932638,BCr,admixed,0.885374362675069
ZLP20-07,pro07-a_HVN5MCCXX_L3,0.99999,P. rotundifolia,P. rotundifolia,0.99945810911748
ZLP20-07,pro07-b_HVN5MCCXX_L4,0.99999,P. rotundifolia,P. rotundifolia,0.999465153553154
ZLP20-03,pro08-a_HVNHGCCXX_L8,0.99999,P. rotundifolia,P. rotundifolia,0.999602309361552
ZLP20-03,pro08-b_HVN5MCCXX_L4,0.99999,P. rotundifolia,P. rotundifolia,0.999538019647077
pro9,pro09-a_HVN5MCCXX_L3,0.701312,BCr,admixed,0.674237503724283
ZLP20-16,pro10-a_HVN5MCCXX_L3,0.99999,P. rotundifolia,P. rotundifolia,0.976567045975928
ZLP20-16,pro10-b_HVN5MCCXX_L5,0.99999,P. rotundifolia,P. rotundifolia,0.971443173886695
ZLP20-21,pro-11-a_HNG5YCCXX_L2,0.905539,BCr,admixed,0.864624904007383
ZLP20-09,pro12-a_HVN5MCCXX_L3,0.953141,BCr,admixed,0.898490022916047
pro13,pro13-a_HVN5MCCXX_L3,0.99999,P. rotundifolia,P. rotundifolia,0.990536298589609
pro13,pro13-b_HVNHGCCXX_L8,0.99999,P. rotundifolia,P. rotundifolia,0.999354065567914
pro14,pro14-a_HVN5MCCXX_L4,0.959718,BCr,admixed,0.908983717318664
pro14,pro14-b_HVN5MCCXX_L5,0.937553,BCr,admixed,0.907051194792425
ZLP20-24,pro15-a_HVN5MCCXX_L4,0.880427,BCr,admixed,0.855749722145853
ZLP20-24,pro15-b_HNG5YCCXX_L1,0.900971,BCr,admixed,0.867109806561089
hanguo,TN1410D3187.trimmomatic.,0.012847,P. davidiana-N,P. davidiana-N,0.0143149513683821
hanguo,TN1410D3189.trimmomatic.,0.017271,P. davidiana-N,P. davidiana-N,0.00928064223457861
hanguo,TN1410D3190.trimmomatic.,0.022406,P. davidiana-N,P. davidiana-N,0.0468381512927877
hanguo,TN1410D3191.trimmomatic.,0.020763,P. davidiana-N,P. davidiana-N,0.0195194288254728
hanguo,TN1410D3192.trimmomatic.,0.019133,P. davidiana-N,P. davidiana-N,0.0266024083766873
hanguo,TN1410D3194.trimmomatic.,0.028326,P. davidiana-N,P. davidiana-N,0.0555600682820613
hanguo,TN1410D3590.trimmomatic.,0.023337,P. davidiana-N,P. davidiana-N,0.0352934336101498
ZLP20-16,V300061124_L3_BIOmubRAAAB-659_merge.,0.99999,P. rotundifolia,P. rotundifolia,0.968064967668804
xls,xls-10B,0.266652,P. davidiana-S,admixed,0.285582038515221
xls,xls-3B,0.268798,P. davidiana-S,admixed,0.318476819787567
xls,xls-6B,0.262272,P. davidiana-S,admixed,0.295618694346419
ZXX2020-HZ-SY,ZL2020-SXHZ,0.289249,P. davidiana-S,admixed,0.32012556786538
ZLP20-02,ZLP20-02-2B,0.99999,P. rotundifolia,P. rotundifolia,0.999446210616336
ZLP20-02,ZLP20-02-4B,0.99999,P. rotundifolia,P. rotundifolia,0.99243894441375
ZLP20-02,ZLP20-02-5B,0.99999,P. rotundifolia,P. rotundifolia,0.999562341249517
ZLP20-03,ZLP20-03-2B,0.99999,P. rotundifolia,P. rotundifolia,0.999680330812729
ZLP20-03,ZLP20-03-3B,0.99999,P. rotundifolia,P. rotundifolia,0.999736023950618
ZLP20-03,ZLP20-03-4B,0.99999,P. rotundifolia,P. rotundifolia,0.999582041856674
ZLP20-03,ZLP20-03-5B,0.99999,P. rotundifolia,P. rotundifolia,0.999524928867882
ZLP20-04,ZLP20-04-1NA,0.99999,P. rotundifolia,P. rotundifolia,0.999691335162946
ZLP20-04,ZLP20-04-2B,0.99999,P. rotundifolia,P. rotundifolia,0.999629891430251
ZLP20-04,ZLP20-04-3B,0.99999,P. rotundifolia,P. rotundifolia,0.999675520750465
ZLP20-04,ZLP20-04-4B,0.99999,P. rotundifolia,P. rotundifolia,0.999689504445568
ZLP20-04,ZLP20-04-5B,0.99999,P. rotundifolia,P. rotundifolia,0.999721732395592
ZLP20-07,ZLP20-07-1NA,0.99999,P. rotundifolia,P. rotundifolia,0.99740806393039
ZLP20-07,ZLP20-07-2B,0.99999,P. rotundifolia,P. rotundifolia,0.999324562030381
ZLP20-07,ZLP20-07-3B,0.99999,P. rotundifolia,P. rotundifolia,0.999515840304128
ZLP20-07,ZLP20-07-4B,0.99999,P. rotundifolia,P. rotundifolia,0.9994871109044
ZLP20-07,ZLP20-07-5B,0.99999,P. rotundifolia,P. rotundifolia,0.999134675511468
ZLP20-08,ZLP20-08-1NA,0.99999,P. rotundifolia,P. rotundifolia,0.980427976039165
ZLP20-08,ZLP20-08-2B,0.99999,P. rotundifolia,P. rotundifolia,0.980394452077041
ZLP20-08,ZLP20-08-3B,0.99999,P. rotundifolia,P. rotundifolia,0.97280178853317
ZLP20-08,ZLP20-08-5B,0.99999,P. rotundifolia,P. rotundifolia,0.994499489586665
ZLP20-09,ZLP20-09-10B,0.924555,BCr,admixed,0.88058221702993
ZLP20-09,ZLP20-09-1NA,0.953366,BCr,admixed,0.910213703664858
ZLP20-09,ZLP20-09-2B,0.953166,BCr,admixed,0.913653752254676
ZLP20-09,ZLP20-09-3B,0.929975,BCr,admixed,0.881796492930927
ZLP20-09,ZLP20-09-4B,0.950311,BCr,admixed,0.903879819267533
ZLP20-09,ZLP20-09-5B,0.940677,BCr,admixed,0.905137809958906
ZLP20-09,ZLP20-09-6B,0.958887,BCr,admixed,0.922298904010635
ZLP20-09,ZLP20-09-7B,0.960068,BCr,admixed,0.908468559644242
ZLP20-09,ZLP20-09-8B,0.952653,BCr,admixed,0.90825286318223
ZLP20-09,ZLP20-09-9B,0.947066,BCr,admixed,0.908732184824302
ZLP20-10,ZLP20-10-10B,0.937971,BCr,admixed,0.901770926500768
ZLP20-10,ZLP20-10-14B,0.964168,BCr,admixed,0.910923699028803
ZLP20-10,ZLP20-10-1NA,0.956078,BCr,admixed,0.920452495101638
ZLP20-10,ZLP20-10-2B,0.933761,BCr,admixed,0.884715897624833
ZLP20-10,ZLP20-10-4B,0.914385,BCr,admixed,0.871626252999812
ZLP20-10,ZLP20-10-7B,0.920563,BCr,admixed,0.874331515718906
ZLP20-15,ZLP20-15-1NA,0.99999,P. rotundifolia,P. rotundifolia,0.983532137915812
ZLP20-15,ZLP20-15-4B,0.99999,P. rotundifolia,P. rotundifolia,0.974550472535181
ZLP20-15,ZLP20-15-5B,0.99999,P. rotundifolia,P. rotundifolia,0.968255828935587
ZLP20-16,ZLP20-16-2B,0.99999,P. rotundifolia,P. rotundifolia,0.980496530681237
ZLP20-16,ZLP20-16-4B,0.99999,P. rotundifolia,P. rotundifolia,0.979889457976585
ZLP20-17,ZLP20-17-1NA,0.988148,P. rotundifolia,P. rotundifolia,0.96463142125397
ZLP20-17,ZLP20-17-5B,0.99999,P. rotundifolia,P. rotundifolia,0.985011332913934
ZLP20-21,ZLP20-21-2B,0.749872,BCr,admixed,0.677515060260454
ZLP20-21,ZLP20-21-5B,0.851893,BCr,admixed,0.78869706121321
ZLP20-23,ZLP20-23-4B,0.684486,BCr,admixed,0.64686189456191
ZLP20-23,ZLP20-23-5B,0.602092,BCr,admixed,0.588971427295209
ZLP20-24,ZLP20-24-15C,0.865344,BCr,admixed,0.835952325906231
ZLP20-24,ZLP20-24-1NA,0.817469,BCr,admixed,0.792098989892425
ZLP20-24,ZLP20-24-3B,0.832358,BCr,admixed,0.804274645480549
ZLP20-24,ZLP20-24-7C,0.797228,BCr,admixed,0.77217631509344
ZLP20-24,ZLP20-24-8B,0.852121,BCr,admixed,0.836475299881097
LiuJQ-MZL-2013-136,ZSP194c-L,0.240846,P. davidiana-S,admixed,0.303415809579907
LiuJQ-MZL-2013-425,ZSP196a-L,0.25714,P. davidiana-S,admixed,0.300715646406161
ZXX2020-HZ-SY,ZXX2020-HZ-SY-1B,0.258197,P. davidiana-S,admixed,0.310756437875984
ZXX2020-HZ-SY,ZXX2020-HZ-SY-2C,0.284658,P. davidiana-S,admixed,0.34469412902828
ZXX2020-HZ-SY,ZXX2020-HZ-SY-3B,0.253919,P. davidiana-S,admixed,0.319615202275654
ZXX2020-HZ-SY,ZXX2020-HZ-SY-5B,0.259332,P. davidiana-S,admixed,0.317132262785618
