pop species lon lat bio1 bio2 bio3 bio4 bio5 bio6 bio7 bio8 bio9 bio10 bio11 bio12 bio13 bio14 bio15 bio16 bio17 bio18 bio19
BSS Ne 127.9166667 43.96666667 7.09999990463257 11.3999996185303 25.8999996185303 1280.40002441406 27.5 -16.5 44 23.2999992370605 -10.8000001907349 22.3999996185303 -8.80000019073486 696 187 3 105.800003051758 455 17 455 17
GDS mixed 111.9166667 38.45 10.1999998092651 15.1000003814697 34.5999984741211 1105.40002441406 30.5 -13.1000003814697 43.5999984741211 22.7999992370605 -5 23.2000007629395 -3.79999995231628 480 129 2 110.5 318 9 307 9
hanguo Ne 128.4 37.1 14.3000001907349 10.8999996185303 29.7999992370605 991.599975585938 31.5 -5.19999980926514 36.7000007629395 27.2000007629395 2.59999990463257 26.2000007629395 1.89999997615814 1482 354 31 81.9000015258789 825 122 762 124
HH Ne 127.8666667 50.4 5.90000009536743 12.1000003814697 22.1000003814697 1618.40002441406 31.3999996185303 -23.1000003814697 54.5 26.2000007629395 -13 25 -14.8999996185303 608 140 6 96.1999969482422 365 22 365 24
HM Ne 127.1 52.2 4.40000009536743 13.1999998092651 23.7999992370605 1609.5 31 -24.2999992370605 55.2999992370605 25.2999992370605 -18.1000003814697 23.7999992370605 -15.8999996185303 586 138 5 99.5 357 18 357 18
hybrid03 mixed 103.63 32.53 7.59999990463257 11.5 37.4000015258789 681.799987792969 22.2999992370605 -8.39999961853027 30.7000007629395 14 -2 15.5 -1.29999995231628 847 140 5 76.5999984741211 387 22 377 22
hybrid13-15 mixed 100.26 28.68 6 12.8000001907349 45.0999984741211 577.299987792969 17.3999996185303 -11 28.3999996185303 12.6000003814697 -1.20000004768372 12.3999996185303 -1.5 840 165 3 89.5999984741211 475 20 475 20
JSZ Ne 127.3166667 43.25 8.89999961853027 11.6000003814697 25.2999992370605 1328.5 29.2999992370605 -16.5 45.7999992370605 25.2999992370605 -10.6999998092651 24.5 -8.10000038146973 713 192 6 103.400001525879 457 24 457 24
KMC rot 103.3833333 25.46666667 17.3999996185303 10.8999996185303 44.4000015258789 481.600006103516 27.7000007629395 3.09999990463257 24.6000003814697 22.3999996185303 9.89999961853027 22.2000007629395 10.6999998092651 954 200 13 79.5 496 48 444 48
LHS Ne 124.8166667 44.78333333 9.5 11.6000003814697 23.6000003814697 1446.69995117188 32.2000007629395 -17.1000003814697 49.2999992370605 27.2000007629395 -11.5 26.5 -8.80000019073486 584 203 2 128 426 10 426 10
LiuJQ-MZL-2013-042+43 mixed 110.2974333 31.471 9.69999980926514 7.90000009536743 27.2999992370605 778.599975585938 23.7999992370605 -5.19999980926514 29 17.3999996185303 -0.300000011920929 19.1000003814697 0.100000001490116 1392 219 19 61 586 79 572 79
LiuJQ-MZL-2013-082 mixed 111.8500556 33.94915 17 11 31.3999996185303 918.299987792969 33.2000007629395 -1.89999997615814 35.0999984741211 28.3999996185303 4.59999990463257 28.2000007629395 5.40000009536743 796 158 7 74.0999984741211 401 32 332 32
LiuJQ-MZL-2013-099 mixed 110.9376 35.92536667 11.8000001907349 12.1000003814697 32.2999992370605 979.099975585938 29.7000007629395 -7.69999980926514 37.4000015258789 23.6000003814697 -1.10000002384186 23.7000007629395 -0.300000011920929 600 133 3 91.8000030517578 360 12 315 12
LiuJQ-MZL-2013-115 mixed 112.0744 38.85555 6.40000009536743 13.8999996185303 33.9000015258789 1062.90002441406 25.5 -15.5 41 18.8999996185303 -7.80000019073486 19 -7 529 146 2 110.300003051758 345 12 343 12
LiuJQ-MZL-2013-117 mixed 111.2848333 38.21626667 8.5 13.6999998092651 32.7000007629395 1083.19995117188 28.1000003814697 -13.8000001907349 41.9000015258789 21 -6.30000019073486 21.2999992370605 -5.30000019073486 530 132 3 102.599998474121 338 12 318 12
LiuJQ-MZL-2013-136 mixed 111.2645667 37.20483333 10.1000003814697 12.8999996185303 33 1016.29998779297 28.6000003814697 -10.3999996185303 39 22.2000007629395 -3.5 22.2999992370605 -2.59999990463257 554 141 2 102.300003051758 353 9 329 9
LiuJQ-MZL-2013-142 mixed 113.4846667 38.95088333 6.59999990463257 13.8999996185303 34.5999984741211 1064.5 25.2999992370605 -15 40.2999992370605 19.8999996185303 -7.40000009536743 19.2000007629395 -6.69999980926514 577 170 4 108.900001525879 370 18 370 18
LiuJQ-MZL-2013-152 mixed 113.8048639 39.57789722 7.59999990463257 14.3000001907349 33.9000015258789 1114.40002441406 27.2000007629395 -14.8000001907349 42 21.3999996185303 -7.40000009536743 20.7000007629395 -6.40000009536743 519 150 5 104 327 20 327 20
LiuJQ-MZL-2013-167 mixed 114.7267778 39.22044444 10.1000003814697 13.3000001907349 32.5999984741211 1098.5 29 -11.8999996185303 40.9000015258789 23.6000003814697 -4.40000009536743 23.1000003814697 -3.59999990463257 566 182 2 118.800003051758 385 11 385 11
LiuJQ-MZL-2013-174 mixed 117.4806667 40.58663889 8.19999980926514 12.3000001907349 30.7000007629395 1129 26.5 -13.3999996185303 39.9000015258789 22.2000007629395 -6.69999980926514 21.5 -5.90000009536743 748 268 3 134.300003051758 560 11 560 11
LiuJQ-MZL-2013-192 mixed 119.1591944 40.9085 12 13.5 32.0999984741211 1169.09997558594 30.8999996185303 -11.1999998092651 42.0999984741211 26.3999996185303 -3.79999995231628 25.6000003814697 -2.79999995231628 669 233 2 139.100006103516 509 7 509 7
LiuJQ-MZL-2013-197 mixed 119.9179167 41.17952778 12.5 13.6000003814697 31.5 1203.40002441406 31.8999996185303 -11.3000001907349 43.2000007629395 27.2000007629395 -3.90000009536743 26.5 -2.70000004768372 637 221 2 135.899993896484 479 7 479 7
LiuJQ-MZL-2013-203 mixed 121.5665 41.53786111 11.8000001907349 11.1999998092651 27.3999996185303 1207.30004882812 30.2000007629395 -10.6000003814697 40.7999992370605 26.6000003814697 -4.59999990463257 25.8999996185303 -3.40000009536743 676 234 2 130.600006103516 490 7 490 7
LiuJQ-MZL-2013-221 Ne 123.15125 40.99263889 11.8999996185303 10 24.8999996185303 1189.59997558594 30 -10.1999998092651 40.2000007629395 26.3999996185303 -4.69999980926514 25.7999992370605 -3.09999990463257 816 236 5 114.300003051758 539 21 539 21
LiuJQ-MZL-2013-238 Ne 124.38425 40.62366667 11.8999996185303 10.8000001907349 26.7999992370605 1150.5 30.2999992370605 -10 40.2999992370605 26.1000003814697 -4.19999980926514 25.3999996185303 -2.5 1017 286 9 108.400001525879 649 38 649 38
LiuJQ-MZL-2013-247 Ne 126.5994722 41.94136111 9.39999961853027 12 26.6000003814697 1287.90002441406 30 -15.1999998092651 45.2000007629395 25.7000007629395 -9.30000019073486 24.6000003814697 -7 883 234 9 101.599998474121 557 36 557 36
LiuJQ-MZL-2013-257 Ne 127.5297778 41.47919444 8.89999961853027 11.8000001907349 27.2000007629395 1237.09997558594 29.1000003814697 -14.3000001907349 43.4000015258789 24.6000003814697 -8.89999961853027 23.6000003814697 -6.69999980926514 836 210 10 99 521 38 521 38
LiuJQ-MZL-2013-264 Ne 128.1434167 41.57469444 6.19999980926514 11.8999996185303 27.8999996185303 1215.30004882812 26.2999992370605 -16.5 42.7999992370605 21.7999992370605 -10.6999998092651 20.7000007629395 -8.89999961853027 810 200 9 98.8000030517578 507 33 507 33
